Jira,IssueId,EvoId,Summary,Description,VersionsAffected,IssueType,Project,Components,CreatedDate,ResolvedDate,Status,Priority,Creator,Reporter,Resolution,IssueLinks,Labels,VersionsFixed,Assignee,TimeSpent,Comments,SmellActual,SmellReason
Apache,12581156,0,compiler error when binding to content property of RichText,"Steps to reproduce:
1. compile attached app
 
 Actual Results:
main.mxml(13):  Error: Access of possibly undefined property content through a reference with static type spark.primitives:RichText.

                                <s:content>
 
 Expected Results:
 should compile and databinding should work",Adobe Flex SDK Previous,Bug,Apache Flex,MXML Compiler,2009-07-21 08:51:12,2009-07-21 09:09:20,Open,Major,Adobe JIRA,Adobe JIRA,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",2,"The structure contains some parts, but is not ""complete""."
Apache,12582724,0,[TLF 2475286] Problem when you copy two paragraphs and then paste the end of any line,"Steps to reproduce:
1. copy the text same in the picture
2. paste at the end of any line
 
 Actual Results:
see picture

 Expected Results:
 the result should look like in the last box in picture
 
 Workaround (if any):",Adobe Flex SDK Previous,Bug,Apache Flex,Spark: RichEditableText,2009-11-05 10:51:56,2010-02-25 22:29:00,Open,Major,Adobe JIRA,Adobe JIRA,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",2,"The structure contains some parts, but is not ""complete""."
Apache,12921688,0,Exceptions raised during AM launch don't trigger exit code AM failures,"It looks like exceptions raised in AM launch failure, while being caught, don't have their exit code picked up. Any launch-time failure should result in an exit code being returned, which then tells the YARN to restart it.",Slider 0.81,Bug,Slider,appmaster,2015-12-14 15:27:16,2015-12-14 15:37:43,Open,Major,Steve Loughran,Steve Loughran,,,,Slider 0.90.2,Steve Loughran,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",3,No previous structure. The model has to generate a new structure from scratch.
Hyperledger,34318,0,CLI command 'did rotate-key' doesn't work in some cases,"*Environment:*
indy-node 1.6.619
indy-plenum 1.6.553
indy-cli 1.6.6~759

*Steps to Reproduce:*
1. Create Docker pool with 4 nodes
2. Connect to pool and rotate default Trustee key many times
3. run [traffic_shaper.sh|https://docs.google.com/document/d/1swLE5FwYY0tQXWpcge7KNQ5oosiz4P57Iz9843e7uHY/edit#] with default latencies
4. try to rotate key few times
5. try to send NYM

*Expected results:*
CLI guarantees consistency between keys in ledger and in local storage

*Actual Results:*
On step 2 keys successfully changed in ledger
On step 4 keys successfully changed in CLI, but ledger response falls in timeout
On step 5 error appears: _Transaction has been rejected: client request invalid: InsufficientCorrectSignatures(0, 1)_",,Bug,Indy SDK,,2018-10-03 14:11:12,2018-10-11 12:01:25,To Do,Medium,NIkita Zhigunenko,NIkita Zhigunenko,,This issue relates to INDY-1707,,,Artem Ivanov,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",2,"The structure contains some parts, but is not ""complete""."
Hyperledger,42808,1,Chaincode Init function is executing even after instantiation via Invoke method,"I am using high level fabric-contract-api for writing chaincode. I defined Init method with some predefined key values to include in Ledger while instantiating. However this Init method is executing with invoke command 

 

To instantiate the chaincode, I use the following command:
 ``` 

peer chaincode instantiate -o orderer.example.com:7050 -C mychannel -n blue-coin -l ""$CC_RUNTIME_LANGUAGE"" -v 1.0 -c '

{""Args"":[""init""]}

' -P ""OR ('Org1MSP.member','Org2MSP.member')""

{{```}}
 The {{Args}} property needs to specify the name of the method (i.e., which is {{init}}) so that it will be called during instantiation.

I initially thought that the {{init}} method can be called only during instantiation since the {{init}} method may contain code that will initialize some values in the world state (e.g., set values to zero).

However, I realized that the same {{init}} method can be called beyond initialization by calling the invoke command:
 ```

 {{peer chaincode invoke -o orderer.example.com:7050 -C mychannel -n blue-coin -c '\{""function"":""init"",""Args"":[]}'}}

```
 If a user can execute the {{init}} command beyond initialization, there is a risk that the values in the world state will be reinitialized to its initial value.",,Bug,Fabric,,2019-10-18 06:47:00,2019-12-20 12:28:36,Unverified,Medium,Tech Now,Tech Now,,,external,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",3,No previous structure. The model has to generate a new structure from scratch.
Hyperledger,43412,3,PING/PONG frames handling in Websocket services is not implemented,"*Summary:*
 Websocket RFC [https://tools.ietf.org/html/rfc6455#section-5.5.2] indicates that services have to support PING frame requests and answer a PONG.

*What happens:*
 When websocket client connected to Besu sends PING frames, Besu is not able to understand them and answers an invalid request message.

*What should happen:*
 When websocket client connected to Besu sends PING frames, Besu should answer with a PONG frame as indicated in the RFC.

*How to reproduce:*
 The easy way is to use Web3j with a websocket connection. Indeed Web3j uses [Java-websocket library|https://github.com/TooTallNate/Java-WebSocket] that automatically prevents  connection loss by sending a ping frame, by default every minute.
 1 - run a Besu node with websocket api enabled and reachable.
 2 - create a websocket connection and send a PING frame as indicated in the RFC. Here is attached [^ping_frame_bug_demo.zip]with a very simple project to demo this. Just adapt the url in the Main.java to your running node and run `./gradlew run` in the project root.",Besu 1.3,Bug,Besu,,2019-11-21 15:26:13,2019-11-22 00:31:44,To Do,Medium,Nicolas MASSART,Nicolas MASSART,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",1,The structure contains all important parts or was only been slightly modified.
IntelDAOS,18269,1,Large sized file copy to posix container throws error,"Steps:
 # Start daos_server and daos_agent on a single node
 # Create a pool 'dmg -i pool create -l wolf-xx -s 1G -n 0G --sys daos_server'
 # Create a container 'daos cont create --pool=$POOL_UUID --svc=0 --type=POSIX'
 # Mount it through dfuse 'dfuse --container=$DAOS_CONT --mountpoint=/tmp/daos_dfuse --pool=$POOL_UUID --svc=$DAOS_SVCL'
 # Check the available space 'df -kh /tmp/daos_dfuse' 
 ## Filesystem      Size  Used Avail Use% Mounted on
 dfuse           954M  402K  954M   1% /tmp/daos_dfuse
 # Create a tmp_file with approx. 750M under /tmp
 #  Do 'cp /tmp/tmp_file /tmp/daos_dfuse/tmp_file'

Expected:

    The tmp_file to be copied over to /tmp/daos_dfuse/ without issues.

Actual:

    Getting error.

   cp: error writing ‘/tmp/daos_dfuse/tmp_file’: No space left on device

    cp: failed to extend ‘/tmp/daos_dfuse/tmp_file’: No space left on device

    But, after step-7, running df -kh /tmp/daos_dfuse shows there's still space left.

        Filesystem      Size  Used Avail Use% Mounted on

        dfuse           954M  736M  219M  78% /tmp/daos_dfuse

 ",,Bug,DAOS,Container,2020-03-05 12:16:44,2020-05-13 08:43:29,Open,P1-Urgent,Logan Sundaram,Logan Sundaram,,,triaged,,DAOS Unassigned,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",2,"The structure contains some parts, but is not ""complete""."
IntelDAOS,21222,1,Fix Coverity Issue in NVMe Recovery Test,"To get additional information about the issue goto scan.coverity.com and login using your github id. If you do not already have access to the daos project goto https://scan.coverity.com/projects/daos-stack-daos?tab=overview and request access. Once that is done and your access is approved click on view defects. This will bring up all outstanding defects. Sort by the CID column on the left side of the defect pane and find your corresponding numbers. Once you found them click on the issue to get the decision tree that made coverity believe there is an issue. For help contact David Quigley

329259 - When test is skipped char *log_file  is leaked.

When you create your PR please add the ast-fixes label to the PR to make it easier to run through coverity.",,Bug,DAOS,Component Test,2021-04-21 07:41:03,2021-04-22 09:04:39,Open,P1-Urgent,David Quigley,David Quigley,,,Coverity,,DAOS Unassigned,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",3,No previous structure. The model has to generate a new structure from scratch.
IntelDAOS,34753,2,engine segfault when deleting object without permission.,"I can reliably crash a server when attempting to remove a file via dfuse if the container/pool permissions are wrong.
Steps to reproduce:

# Run dfuse as a regular user
# Give root rw access to pool
# Give root rta but not access to container
# Run dfuse as root
# as root, attempt to delete a file.

Reproducer is at [https://github.com/daos-stack/daos/pull/7318|https://github.com/daos-stack/daos/pull/7318|smart-link]  and it’s fairly easy to reproduce, simply create a container, create some objects, remove write permission then reopen container and delete an object.  I originally discovered this when testing with multiple users, however it also works when you just use the one user.",,Bug,DAOS,,2021-11-11 08:53:37,2021-11-17 06:25:45,Open,P2-High,Ashley Pittman,Ashley Pittman,,,triaged,,CORCI Triage,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",2,"The structure contains some parts, but is not ""complete""."
JFrog,33330,0,Storage summary REST API return the same results twice ,"When running the Storage summary rest api you are getting the ""repositoriesSummaryList"" twice.",4.6.1,Bug,Artifactory Binary Repository,REST API,2016-03-31 13:31:13,2022-01-03 10:11:32,Open,5 - Minor,Ariel Seftel,Ariel Seftel,,,,,,,"Empty DataFrame
Columns: [Author, Created, Comment]
Index: []",3,No previous structure. The model has to generate a new structure from scratch.
